,Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
34695,43611,4697,2,1489582800.0,,
34696,43612,4696,2,1489582800.0,,
34697,43613,4694,2,1489582800.0,,
34698,43614,4693,2,1489582800.0,,
34699,43615,4687,2,1489582800.0,,
34700,43616,4686,2,1489582800.0,,
34701,43617,4703,1,1489582800.0,,
34702,43618,4703,2,1489582800.0,,
34703,43619,10852,2,1489582800.0,,
34704,43620,10858,2,1489582800.0,,
34705,43621,10858,5,1489582800.0,90.0,
34706,43622,10196,2,1489582800.0,,
34707,43623,10858,2,1489582800.0,,
34708,43624,10853,2,1489582800.0,,
34709,43625,10857,2,1489582800.0,,
34710,43626,10795,2,1489582800.0,,
34711,43627,10861,2,1489582800.0,,
34712,43629,10859,2,1489669200.0,,
34713,43630,10861,2,1489669200.0,,
34714,43631,10858,2,1489669200.0,,
34715,43632,10856,2,1489669200.0,,
34716,43633,10854,2,1489669200.0,,
34717,43634,10853,2,1489669200.0,,
34718,43635,5805,2,1489669200.0,,
34719,43636,5804,2,1489669200.0,,
34720,43637,5803,2,1489669200.0,,
34721,43638,5797,2,1489669200.0,,
34722,43639,5792,2,1489669200.0,,
34723,43640,5789,2,1489669200.0,,
34724,43641,5788,2,1489669200.0,,
34725,43642,5787,2,1489669200.0,,
34726,43643,5786,2,1489669200.0,,
34727,43644,5784,2,1489669200.0,,
34728,43645,5783,2,1489669200.0,,
34729,43646,5782,2,1489669200.0,,
34730,43647,5778,2,1489669200.0,,
34731,43648,5776,2,1489669200.0,,
34732,43649,5774,2,1489669200.0,,
34733,43650,5768,2,1489669200.0,,
34734,43651,5766,2,1489669200.0,,
34735,43652,5765,2,1489669200.0,,
34736,43653,5764,2,1489669200.0,,
34737,43654,5763,2,1489669200.0,,
34738,43655,5836,2,1489669200.0,,
34739,43656,5838,2,1489669200.0,,
34740,43657,5756,2,1489669200.0,,
34741,43658,5755,2,1489669200.0,,
34742,43659,5754,2,1489669200.0,,
34743,43660,5752,2,1489669200.0,,
34744,43661,5750,2,1489669200.0,,
34745,43662,5749,2,1489669200.0,,
34746,43663,5742,2,1489669200.0,,
34747,43664,5739,2,1489669200.0,,
34748,43665,5737,2,1489669200.0,,
34749,43666,5735,2,1489669200.0,,
34750,43667,5736,2,1489669200.0,,
34751,43668,5724,2,1489669200.0,,
34752,43669,10840,2,1489669200.0,,
34753,43670,3620,2,1489669200.0,,
34754,43671,3618,2,1489669200.0,,
34755,43672,10862,3,1489669200.0,,
34756,43673,10842,2,1489669200.0,,
34757,43674,10850,16,1489669200.0,,
34758,43675,10860,16,1489669200.0,,
34759,43676,10861,16,1489669200.0,,
34760,43677,5545,16,1489669200.0,,
34761,43678,10862,3,1489669200.0,,
34762,43679,10861,2,1489669200.0,,
34763,43680,10863,2,1489669200.0,,
34764,43681,10852,16,1489669200.0,,
34765,43682,10846,2,1489669200.0,,
34766,43683,10864,2,1489669200.0,,
34767,43684,10865,2,1489669200.0,,
34768,43685,10862,10,1489669200.0,,
34769,43686,10862,3,1489669200.0,,
34770,43687,10849,16,1489669200.0,,
34771,43688,10865,2,1489669200.0,,
34772,43689,10861,2,1489669200.0,,
34773,43690,10863,2,1489669200.0,,
34774,43691,10864,2,1489669200.0,,
34775,43692,10855,2,1489669200.0,,
34776,43693,10852,2,1489669200.0,,
34777,43694,10859,2,1489669200.0,,
34778,43695,10860,2,1489669200.0,,
34779,43696,10853,2,1489669200.0,,
34780,43697,10812,2,1489669200.0,,
34781,43698,10857,2,1489669200.0,,
34782,43699,10858,2,1489669200.0,,
34783,43700,10856,2,1489669200.0,,
34784,43701,10854,2,1489669200.0,,
34785,43702,10847,2,1489669200.0,,
34786,43703,10857,2,1489669200.0,,
34787,43704,5773,1,1489669200.0,,
34788,43705,10863,2,1489669200.0,,
34789,43706,10863,2,1489755600.0,,
34790,43707,10865,2,1489755600.0,,
34791,43708,10864,2,1489755600.0,,
34792,43709,24,2,1489755600.0,,
34793,43710,23,2,1489755600.0,,
34794,43711,17,2,1489755600.0,,
34795,43712,16,2,1489755600.0,,
34796,43713,15,2,1489755600.0,,
34797,43714,11,2,1489755600.0,,
34798,43715,9,2,1489755600.0,,
34799,43716,7,2,1489755600.0,,
34800,43717,6,2,1489755600.0,,
34801,43718,3,2,1489755600.0,,
34802,43719,1,2,1489755600.0,,
34803,43720,1840,2,1489755600.0,,
34804,43721,95,2,1489755600.0,,
34805,43722,93,2,1489755600.0,,
34806,43723,92,2,1489755600.0,,
34807,43724,85,2,1489755600.0,,
34808,43725,84,2,1489755600.0,,
34809,43726,78,2,1489755600.0,,
34810,43727,52,2,1489755600.0,,
34811,43728,48,2,1489755600.0,,
34812,43729,46,2,1489755600.0,,
34813,43730,43,2,1489755600.0,,
34814,43731,42,2,1489755600.0,,
34815,43732,41,2,1489755600.0,,
34816,43733,40,2,1489755600.0,,
34817,43734,29,2,1489755600.0,,
34818,43735,26,2,1489755600.0,,
34819,43736,158,2,1489755600.0,,
34820,43737,157,2,1489755600.0,,
34821,43738,154,2,1489755600.0,,
34822,43739,146,2,1489755600.0,,
34823,43740,145,2,1489755600.0,,
34824,43741,143,2,1489755600.0,,
34825,43742,133,2,1489755600.0,,
34826,43743,127,2,1489755600.0,,
34827,43744,126,2,1489755600.0,,
34828,43745,115,2,1489755600.0,,
34829,43746,112,2,1489755600.0,,
34830,43747,10854,2,1489755600.0,,
34831,43748,10855,2,1489755600.0,,
34832,43749,10856,2,1489755600.0,,
34833,43750,10860,2,1489755600.0,,
34834,43751,10859,2,1489755600.0,,
34835,43752,10852,2,1489755600.0,,
34836,43753,10839,2,1489755600.0,,
34837,43754,10853,2,1489755600.0,,
34838,43755,10866,2,1489842000.0,,
34839,43756,10866,1,1489842000.0,,
34840,43757,10868,2,1489842000.0,,
34841,43758,10867,2,1489842000.0,,
34842,43759,9426,2,1489842000.0,,
34843,43760,9423,2,1489842000.0,,
34844,43761,9422,2,1489842000.0,,
34845,43762,9418,2,1489842000.0,,
34846,43763,9416,2,1489842000.0,,
34847,43764,9414,2,1489842000.0,,
34848,43765,9412,2,1489842000.0,,
34849,43766,9407,2,1489842000.0,,
34850,43767,9410,2,1489842000.0,,
34851,43768,9405,2,1489842000.0,,
34852,43769,9400,2,1489842000.0,,
34853,43770,9398,2,1489842000.0,,
34854,43771,9393,2,1489842000.0,,
34855,43772,9392,2,1489842000.0,,
34856,43773,9391,2,1489842000.0,,
34857,43774,9386,2,1489842000.0,,
34858,43775,9385,2,1489842000.0,,
34859,43776,9384,2,1489842000.0,,
34860,43777,9382,2,1489842000.0,,
34861,43778,9381,2,1489842000.0,,
